e,n,d
300.0,300.0,0
300.0,300.0,1
300.0,300.0,2
300.0,300.0,3
300.0,300.0,4
300.0,300.0,5
300.0,300.0,6
300.0,300.0,7
300.0,300.0,8
300.0,300.0,9
300.0,300.0,10
300.0,300.0,11
300.0,300.0,12
300.0,300.0,13
300.0,300.0,14
300.0,300.0,15
300.0,300.0,16
300.0,300.0,17
300.0,300.0,18
300.0,300.0,19
300.0,300.0,20
300.0,300.0,21
300.0,300.0,22
300.0,300.0,23
300.0,300.0,24
300.0,300.0,25
300.0,300.0,26
300.0,300.0,27
300.0,300.0,28
300.0,300.0,29
300.0,300.0,30
300.0,300.0,31
300.0,300.0,32
300.0,300.0,33
300.0,300.0,34
300.0,300.0,35
300.0,300.0,36
300.0,300.0,37
300.0,300.0,38
300.0,300.0,39
300.0,300.0,40
300.0,300.0,41
300.0,300.0,42
300.0,300.0,43
300.0,300.0,44
300.0,300.0,45
300.0,300.0,46
300.0,300.0,47
300.0,300.0,48
300.0,300.0,49
300.0,300.0,50
300.0,300.0,51
300.0,300.0,52
300.0,300.0,53
300.0,300.0,54
300.0,300.0,55
300.0,300.0,56
300.0,300.0,57
300.0,300.0,58
300.0,300.0,59
300.0,300.0,60
300.0,300.0,61
300.0,300.0,62
300.0,300.0,63
300.0,300.0,64
300.0,300.0,65
300.0,300.0,66
300.0,300.0,67
300.0,300.0,68
300.0,300.0,69
300.0,300.0,70
300.0,300.0,71
300.0,300.0,72
300.0,300.0,73
300.0,300.0,74
300.0,300.0,75
300.0,300.0,76
300.0,300.0,77
300.0,300.0,78
300.0,300.0,79
300.0,300.0,80
300.0,300.0,81
300.0,300.0,82
300.0,300.0,83
300.0,300.0,84
300.0,300.0,85
300.0,300.0,86
300.0,300.0,87
300.0,300.0,88
300.0,300.0,89
300.0,300.0,90
300.0,300.0,91
300.0,300.0,92
300.0,300.0,93
300.0,300.0,94
300.0,300.0,95
300.0,300.0,96
300.0,300.0,97
300.0,300.0,98
300.0,300.0,99
300.0,300.0,100
300.0,300.0,101
300.0,300.0,102
300.0,300.0,103
300.0,300.0,104
300.0,300.0,105
300.0,300.0,106
300.0,300.0,107
300.0,300.0,108
300.0,300.0,109
300.0,300.0,110
300.0,300.0,111
300.0,300.0,112
300.0,300.0,113
300.0,300.0,114
300.0,300.0,115
300.0,300.0,116
300.0,300.0,117
300.0,300.0,118
300.0,300.0,119
300.0,300.0,120
300.0,300.0,121
300.0,300.0,122
300.0,300.0,123
300.0,300.0,124
300.0,300.0,125
300.0,300.0,126
300.0,300.0,127
300.0,300.0,128
300.0,300.0,129
300.0,300.0,130
300.0,300.0,131
300.0,300.0,132
300.0,300.0,133
300.0,300.0,134
300.0,300.0,135
300.0,300.0,136
300.0,300.0,137
300.0,300.0,138
300.0,300.0,139
300.0,300.0,140
300.0,300.0,141
300.0,300.0,142
300.0,300.0,143
300.0,300.0,144
300.0,300.0,145
300.0,300.0,146
300.0,300.0,147
300.0,300.0,148
300.0,300.0,149
300.0,300.0,150
300.0,300.0,151
300.0,300.0,152
300.0,300.0,153
300.0,300.0,154
300.0,300.0,155
300.0,300.0,156
300.0,300.0,157
